sl. No.,Medical Shop Name,Latitude,Longitude,Side of Kolkata,Area
97,Apollo Pharmacy Kolkata South City,22.506506,88.360001,South,Jadavpur
98,Medicine World,22.502679,88.357382,South,Jadavpur
99,M R Bangur Hospital (Emergency),22.4885,88.3536,South,Tollygunge
100,Dip Pharmacy,22.496767,88.368847,South,Jadavpur
101,KPC Medical College & Hospital,22.49398,88.373347,South,Jadavpur
102,Lifeline - Jadavpur,22.4901,88.372199,South,Jadavpur
103,Baghajatin State General Hospital,22.483092,88.375018,South,Baghajatin
104,IRIS MULTISPECIALITY HOSPITAL,22.480691,88.375425,South,Baghajatin
105,SREE GURU HOSPITAL,22.473794,88.368521,South,Naktala-garia
106,Tata 1mg Collection center,22.47314,88.368864,South,Naktala-garia
107,Vivekananda Pharmacy,22.466793,88.377646,South,Garia
108,Eureka Medicine Store,22.466017,88.377955,South,Garia
109,Behala Health Care Pharmacy,22.4948,88.3172,West,Behala
110,Netradeep Eye Hospital,22.48303,88.311184,West,Behala
111,Pratihar Nursing Home,22.500297,88.318072,West,Behala
112,Chowdhury Medical Store,22.499984,88.317402,West,Behala
113,Apollo Pharmacy Roy Bahadur Road,22.499807,88.324299,West,Behala
114,Skyline Pharmacy,22.49806,88.321077,West,Behala
115,MedPlus Satyen Roy Road,22.498035,88.320959,West,Behala
116,Kingko's pharmacy,22.499877,88.318439,West,Behala
117,U M R I   HOSPITAL,22.47821,88.312872,West,Behala
118,Doctor's CLINIC Dr. Koustav Roy,22.474971,88.307067,West,Behala
119,"ESI-PGIMSR, ESIC Medical College & Hospital",22.450233,88.300367,West,Joka
120,DM Hospitals Private Limited,22.466251,88.310474,West,Thakurpukur
121,"Narayana Hospital, Chunavati",22.56913,88.270409,Howrah,Mourigram
122,G S J Pharmacy,22.586497,88.284004,Howrah,Santragachi
123,Soham Drug Store,22.582408,88.289429,Howrah,Baksara
124,Baksara Medical Point,22.582439,88.289648,Howrah,Baksara
125,Sushila Medical,22.569661,88.318423,Howrah,Shibpur
126,Manna Homeo Remedy,22.570189,88.316934,Howrah,Shibpur
127,Apollo Pharmacy Mandirtala,22.572056,88.31711,Howrah,Shibpur
128,UPASHAM PHARMACY,22.572515,88.31715,Howrah,Shibpur
129,Peoples Meditreat,22.582754,88.322752,Howrah,Shibpur
130,Howrah Medicine Mart,22.5845,88.3402,Howrah,Maidan
131,Life medical store & pharmacy ,22.654807,88.341775,Howrah,Bally
132,MedPlus Goswami Para Road Bally,22.64863,88.345639,Howrah,Bally
133,Raat Deen Bally Medicine store,22.648174,88.350526,Howrah,Bally
134,Apollo Pharmacy Bally Bazar,22.648065,88.350488,Howrah,Bally
135,davaindia GENERIC PHARMACY ,22.643703,88.341413,Howrah,Bally
